threads,iterations,lock,run,time_sec,ops_per_sec
16,1000000,spin,3,0.188,5330327
16,5000000,sem,1,0.565,8850299
16,5000000,sem,2,0.376,13292174
16,5000000,sem,3,0.548,9120119
16,5000000,mutex,1,0.134,37182295
16,5000000,mutex,2,0.123,40765374
16,5000000,mutex,3,0.124,40284510
16,5000000,spin,1,0.751,6661981
16,5000000,spin,2,0.736,6792802
16,5000000,spin,3,0.724,6907872
16,10000000,sem,1,1.362,7344681
16,10000000,sem,2,0.838,11934122
16,10000000,sem,3,1.116,8962943
16,10000000,mutex,1,0.305,32748328
16,10000000,mutex,2,0.228,43767532
16,10000000,mutex,3,0.233,42858387
16,10000000,spin,1,1.662,6016576
16,10000000,spin,2,1.687,5929430
16,10000000,spin,3,1.436,6965924
32,1000000,sem,1,0.139,7209002
32,1000000,sem,2,0.133,7529789
32,1000000,sem,3,0.048,20882779
32,1000000,mutex,1,0.032,31198243
32,1000000,mutex,2,0.025,40375446
32,1000000,mutex,3,0.022,46339038
32,1000000,spin,1,0.373,2679867
32,1000000,spin,2,0.391,2560659
32,1000000,spin,3,0.362,2760404
32,5000000,sem,1,0.863,5794874
32,5000000,sem,2,0.805,6207983
32,5000000,sem,3,0.692,7221044
32,5000000,mutex,1,0.107,46664353
32,5000000,mutex,2,0.156,32065518
32,5000000,mutex,3,0.138,36305727
32,5000000,spin,1,1.392,3593213
32,5000000,spin,2,1.495,3345023
32,5000000,spin,3,1.612,3102336
32,10000000,sem,1,1.853,5395653
32,10000000,sem,2,1.662,6015515
32,10000000,sem,3,1.264,7914146
32,10000000,mutex,1,0.224,44672365
32,10000000,mutex,2,0.217,46148883
32,10000000,mutex,3,0.217,46152959
32,10000000,spin,1,3.270,3058358
32,10000000,spin,2,3.290,3039311
32,10000000,spin,3,3.200,3125159
64,1000000,sem,1,0.212,4727462
64,1000000,sem,2,0.215,4649667
64,1000000,sem,3,0.078,12861931
64,1000000,mutex,1,0.030,33728300
64,1000000,mutex,2,0.035,28578390
64,1000000,mutex,3,0.044,22519627
64,1000000,spin,1,0.011,90670265
64,1000000,spin,2,0.672,1487595
64,1000000,spin,3,0.781,1279759
64,5000000,sem,1,1.073,4659022
64,5000000,sem,2,0.818,6116130
64,5000000,sem,3,1.019,4905514
64,5000000,mutex,1,0.132,37956957
64,5000000,mutex,2,0.121,41386220
64,5000000,mutex,3,0.128,39075748
64,5000000,spin,1,3.018,1656841
64,5000000,spin,2,2.951,1694092
64,5000000,spin,3,3.373,1482443
64,10000000,sem,1,2.051,4876247
64,10000000,sem,2,2.027,4932659
64,10000000,sem,3,2.021,4947531
64,10000000,mutex,1,0.225,44455035
64,10000000,mutex,2,0.215,46479960
64,10000000,mutex,3,0.211,47354693
64,10000000,spin,1,6.321,1582151
64,10000000,spin,2,5.415,1846638
64,10000000,spin,3,5.964,1676794
